ticker,name,composite_score,grade,letter_grade,financial_score,valuation_score,tech_score,smart_money_score,analyst_score,revenue_growth_pct,eps_growth_pct,operating_margin_pct,debt_to_equity,pe_ratio,ps_ratio,ev_ebitda,sector,rsi,ma_signal,rs_vs_spy_20d,upside_pct,recommendation,current_price,target_buy_price,target_sell_price,rank
CINF,Cincinnati Financial Corporation,72.6,🔥 S급 (강력 매수),S,27.0,23.0,12.0,5.6,5.0,21.8,67.3,27.6,0.06,11.11,2.08,7.98,Financial Services,59.9,Bullish,5.9,3.0,buy,168.53,163.64,173.67,1
PTC,PTC Inc.,72.0,🔥 S급 (강력 매수),S,28.0,23.0,7.0,7.0,7.0,21.4,104.4,33.8,0.36,24.06,6.79,16.78,Technology,50.4,Neutral,6.1,19.6,buy,163.1,163.64,195.0,2
EIX,Edison International,70.7,🔥 S급 (강력 매수),S,23.0,25.0,10.0,8.7,4.0,30.8,446.3,35.9,2.16,6.39,1.47,8.73,Utilities,77.2,Bullish,23.7,-1.3,buy,73.86,64.22,84.94,3
ALL,The Allstate Corporation,70.2,🔥 S급 (강력 매수),S,23.0,25.0,8.0,8.2,6.0,5.1,103.2,29.0,0.25,5.61,0.82,4.76,Financial Services,69.6,Bullish,9.1,12.3,buy,213.61,203.67,239.95,4
OMC,Omnicom Group Inc.,65.7,🔥 S급 (강력 매수),S,19.0,25.0,6.0,8.7,7.0,27.9,0.0,14.9,0.86,6.71,1.54,11.33,Communication Services,68.2,Neutral,12.8,19.2,buy,84.62,77.73,100.9,5
CF,"CF Industries Holdings, Inc.",65.3,🔥 S급 (강력 매수),S,28.0,19.0,10.0,7.3,1.0,22.8,37.1,35.3,0.47,11.85,2.34,6.46,Basic Materials,70.4,Bullish,21.1,-8.1,hold,106.3,88.61,122.24,6
HST,"Host Hotels & Resorts, Inc.",63.7,🌟 A급 (매수),A,21.0,25.0,4.0,7.7,6.0,12.8,27.1,12.1,0.84,17.82,2.23,11.27,Real Estate,46.0,Neutral,7.1,6.6,buy,19.6,18.89,20.89,7
PAYC,"Paycom Software, Inc.",63.7,🌟 A급 (매수),A,20.0,25.0,7.0,5.7,6.0,10.2,2.1,28.9,0.05,16.31,3.53,10.6,Technology,56.5,Neutral,1.0,14.7,buy,131.81,127.86,151.18,8
ADBE,Adobe Inc.,63.6,🌟 A급 (매수),A,22.0,23.0,7.0,2.6,9.0,10.5,17.2,36.5,0.57,16.24,4.77,12.04,Technology,54.9,Neutral,-5.5,50.7,buy,270.99,262.86,408.47,9
CRM,"Salesforce, Inc.",63.2,🌟 A급 (매수),A,20.0,21.0,7.0,6.2,9.0,12.1,17.9,19.2,0.3,26.17,4.49,15.07,Technology,52.1,Neutral,-4.8,41.4,buy,196.05,190.17,277.19,10
