ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
A,92.9,0.31,1.72,281.83,10,0,0,Neutral,70,Strong Institutional Support
AAL,71.19,1.85,6.86,650.2,10,0,0,Neutral,60,Institutional Support
AAPL,65.18,1.84,0.91,14656.18,10,0,0,Neutral,65,Institutional Support
ABBV,76.38,0.5,1.29,1765.09,10,0,0,Neutral,65,Institutional Support
ABNB,86.39,1.52,3.65,407.83,10,0,0,Neutral,65,Institutional Support
ABT,81.92,0.87,0.99,1727.1,10,0,0,Neutral,70,Strong Institutional Support
ACGL,93.17,3.34,1.83,343.33,10,0,0,Neutral,70,Strong Institutional Support
ACN,82.7,0.39,2.76,614.09,10,0,0,Neutral,70,Strong Institutional Support
ADBE,86.95,0.36,3.02,409.18,10,0,0,Neutral,65,Institutional Support
ADI,93.39,1.04,1.87,486.48,10,0,0,Neutral,70,Strong Institutional Support
ADM,87.99,0.79,3.62,476.95,10,0,0,Neutral,65,Institutional Support
ADP,86.46,0.45,2.77,401.75,10,0,0,Neutral,70,Strong Institutional Support
ADSK,95.34,0.4,3.02,211.47,10,0,0,Neutral,65,Institutional Support
AEE,85.61,0.38,3.42,275.0,10,0,0,Neutral,65,Institutional Support
AEP,84.84,0.69,3.45,539.93,10,0,0,Neutral,65,Institutional Support
AES,88.17,0.85,3.16,707.48,10,0,0,Neutral,65,Institutional Support
AFL,59.55,11.22,1.43,511.92,10,0,0,Neutral,55,Institutional Support
AIG,99.35,0.62,2.13,534.61,10,0,0,Neutral,70,Strong Institutional Support
AIZ,97.52,0.67,2.37,49.4,10,0,0,Neutral,70,Strong Institutional Support
AJG,93.66,1.14,2.17,254.4,10,0,0,Neutral,70,Strong Institutional Support
AKAM,102.49,2.15,12.12,141.59,10,0,0,Neutral,55,Institutional Support
ALB,94.64,0.45,10.98,117.43,10,0,0,Neutral,55,Institutional Support
ALGN,95.38,7.06,4.28,66.74,10,0,0,Neutral,65,Institutional Support
ALL,82.49,1.65,2.51,257.95,10,0,0,Neutral,70,Strong Institutional Support
ALLE,97.6,1.75,3.34,84.89,10,0,0,Neutral,65,Institutional Support
AMAT,85.38,0.47,1.86,790.15,10,0,0,Neutral,70,Strong Institutional Support
AMCR,70.0,0.38,6.16,459.94,10,0,0,Unknown,60,Institutional Support
AMD,72.19,0.63,1.89,1621.48,10,0,0,Neutral,65,Institutional Support
AME,92.14,0.56,1.19,227.64,10,0,0,Neutral,70,Strong Institutional Support
AMGN,85.04,0.5,2.69,537.73,10,0,0,Neutral,70,Strong Institutional Support
AMP,89.86,0.41,4.18,90.8,10,0,0,Neutral,65,Institutional Support
AMT,96.13,0.38,1.66,464.8,10,0,0,Neutral,70,Strong Institutional Support
AMZN,67.21,9.27,0.9,9754.18,10,0,0,Neutral,65,Institutional Support
ANET,70.78,18.0,1.24,1038.57,10,0,0,Neutral,65,Institutional Support
ANSS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
AON,88.82,2.96,1.04,208.03,10,0,0,Neutral,70,Strong Institutional Support
AOS,107.67,0.86,5.57,111.24,10,0,0,Neutral,65,Institutional Support
APA,99.31,0.62,11.92,351.02,10,0,0,Neutral,55,Institutional Support
APD,93.89,3.26,2.33,222.3,10,0,0,Neutral,70,Strong Institutional Support
APH,97.86,0.68,1.54,1221.37,10,0,0,Neutral,70,Strong Institutional Support
APTV,102.92,0.48,3.91,210.74,10,0,0,Neutral,65,Institutional Support
ARE,97.79,1.53,6.45,154.01,10,0,0,Neutral,65,Institutional Support
ATO,99.79,0.88,2.77,164.74,10,0,0,Neutral,70,Strong Institutional Support
AVB,99.47,0.47,5.12,131.32,10,0,0,Neutral,65,Institutional Support
AVGO,79.28,2.41,1.19,405.88,10,0,0,Neutral,65,Institutional Support
AVY,98.73,1.18,3.17,76.23,10,0,0,Neutral,65,Institutional Support
AWK,99.47,0.55,6.2,194.8,10,0,0,Neutral,65,Institutional Support
AXON,86.12,5.02,3.7,76.44,10,0,0,Neutral,65,Institutional Support
AXP,64.77,22.37,1.61,533.55,10,0,0,Neutral,65,Institutional Support
AZO,94.16,0.6,2.17,16.52,10,0,0,Neutral,70,Strong Institutional Support
BA,73.88,0.25,1.74,753.48,10,0,0,Neutral,65,Institutional Support
BAC,71.06,7.49,1.4,7149.34,10,0,0,Neutral,65,Institutional Support
BALL,89.12,0.96,1.96,265.03,10,0,0,Neutral,70,Strong Institutional Support
BAX,109.8,0.56,12.47,512.29,10,0,0,Neutral,55,Institutional Support
BBWI,100.0,0.7,7.63,192.39,10,0,0,Neutral,65,Institutional Support
BBY,99.61,10.42,13.43,194.42,10,0,0,Neutral,55,Institutional Support
BDX,96.08,0.68,5.8,284.0,10,0,0,Neutral,65,Institutional Support
BEN,48.12,48.51,6.38,303.41,10,0,0,Neutral,50,Neutral
BF-B,75.83,3.09,16.56,326.38,10,0,0,Neutral,50,Neutral
BG,76.77,17.77,3.48,159.21,10,0,0,Neutral,60,Institutional Support
BIIB,97.55,0.26,4.0,146.28,10,0,0,Neutral,65,Institutional Support
BIO,90.43,16.33,4.95,21.13,10,0,0,Neutral,65,Institutional Support
BK,88.09,0.39,1.4,685.33,10,0,0,Neutral,70,Strong Institutional Support
BKNG,112.04,0.26,2.59,31.58,10,0,0,Neutral,70,Strong Institutional Support
BKR,102.38,0.85,3.29,986.09,10,0,0,Neutral,65,Institutional Support
BLDR,96.89,2.84,5.74,107.63,10,0,0,Neutral,65,Institutional Support
BLK,82.58,1.97,0.97,144.42,10,0,0,Neutral,70,Strong Institutional Support
BMY,82.85,0.33,1.56,2033.32,10,0,0,Neutral,70,Strong Institutional Support
BR,95.01,0.89,2.62,116.19,10,0,0,Neutral,70,Strong Institutional Support
BRK-B,67.09,0.68,0.88,1.24,10,0,0,Neutral,65,Institutional Support
BRO,82.63,13.26,6.3,293.61,10,0,0,Neutral,65,Institutional Support
BSX,94.7,0.35,1.8,1479.67,10,0,0,Neutral,70,Strong Institutional Support
BWA,107.84,1.2,4.2,204.76,10,0,0,Neutral,65,Institutional Support
BX,69.64,1.18,1.75,743.23,10,0,0,Neutral,65,Institutional Support
BXP,116.97,0.49,9.85,147.09,10,0,0,Neutral,65,Institutional Support
C,81.03,0.41,1.6,1743.55,10,0,0,Neutral,70,Strong Institutional Support
CAG,87.15,0.77,8.69,474.98,10,0,0,Neutral,65,Institutional Support
CAH,90.5,0.42,2.45,234.85,10,0,0,Neutral,70,Strong Institutional Support
CARR,86.03,6.35,2.74,783.55,10,0,0,Neutral,70,Strong Institutional Support
CAT,72.44,0.43,2.15,463.87,10,0,0,Neutral,65,Institutional Support
CB,83.8,10.4,0.93,354.17,10,0,0,Neutral,70,Strong Institutional Support
CBOE,89.27,0.53,2.98,104.24,10,0,0,Neutral,70,Strong Institutional Support
CBRE,99.1,0.69,1.63,287.89,10,0,0,Neutral,70,Strong Institutional Support
CCI,99.45,0.37,2.83,435.15,10,0,0,Neutral,70,Strong Institutional Support
CCL,71.48,7.92,3.56,1283.25,10,0,0,Neutral,60,Institutional Support
CDNS,90.12,0.5,2.09,271.57,10,0,0,Neutral,70,Strong Institutional Support
CDW,97.8,0.51,4.4,128.52,10,0,0,Neutral,65,Institutional Support
CE,103.26,0.54,7.58,108.99,10,0,0,Neutral,65,Institutional Support
CEG,78.98,0.44,2.45,338.92,10,0,0,Neutral,65,Institutional Support
CF,106.5,0.78,8.66,152.07,10,0,0,Neutral,65,Institutional Support
CFG,99.82,1.1,4.62,420.73,10,0,0,Neutral,65,Institutional Support
CHD,93.74,0.51,4.92,236.04,10,0,0,Neutral,65,Institutional Support
CHRW,102.82,1.64,7.13,118.14,10,0,0,Neutral,65,Institutional Support
CHTR,81.71,36.26,26.19,81.7,10,0,0,Neutral,55,Institutional Support
CI,91.37,2.05,2.27,262.24,10,0,0,Neutral,70,Strong Institutional Support
CINF,71.1,1.67,1.81,152.83,10,0,0,Neutral,65,Institutional Support
